epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,10327.4,0.36327,0.27096,0.7843,0.97818,0.99333,0.99098,0.95422,0.31158,0.1857,0.77377,0.002575,0.002575,0.002575
77,10463.7,0.36346,0.2702,0.78494,0.97862,0.99239,0.99097,0.95435,0.31119,0.18559,0.77371,0.002476,0.002476,0.002476
78,10600,0.361,0.26861,0.7843,0.97879,0.99225,0.99096,0.9545,0.31078,0.18538,0.7737,0.002377,0.002377,0.002377
79,10736.3,0.35803,0.26598,0.78403,0.97905,0.99217,0.99098,0.95462,0.3105,0.18514,0.77367,0.002278,0.002278,0.002278
80,10872.7,0.35757,0.26326,0.78301,0.97895,0.9923,0.99099,0.95471,0.31026,0.18518,0.77363,0.002179,0.002179,0.002179
81,11009.1,0.35577,0.26131,0.78314,0.97907,0.99242,0.99102,0.9548,0.30996,0.18498,0.77359,0.00208,0.00208,0.00208
82,11145.2,0.35448,0.26045,0.78353,0.97923,0.99266,0.99105,0.95505,0.30971,0.18497,0.77356,0.001981,0.001981,0.001981
83,11281.5,0.35212,0.2567,0.78361,0.97927,0.99254,0.99106,0.95511,0.30953,0.18489,0.77353,0.001882,0.001882,0.001882
84,11417.9,0.35258,0.25628,0.78398,0.97924,0.9925,0.99108,0.95507,0.30937,0.18498,0.77348,0.001783,0.001783,0.001783
85,11553.7,0.35109,0.25454,0.78363,0.9795,0.99236,0.99109,0.9553,0.30928,0.18509,0.77346,0.001684,0.001684,0.001684
86,11690.1,0.34728,0.25033,0.78275,0.97961,0.99238,0.9911,0.95522,0.30908,0.18513,0.77343,0.001585,0.001585,0.001585
87,11826.2,0.34654,0.25046,0.7818,0.97976,0.99181,0.99109,0.95533,0.30888,0.18509,0.77341,0.001486,0.001486,0.001486
88,11962.8,0.34545,0.24848,0.7826,0.97962,0.99189,0.9911,0.95546,0.30875,0.1851,0.77339,0.001387,0.001387,0.001387
89,12098.7,0.34235,0.24517,0.78203,0.97997,0.99145,0.99112,0.95552,0.30859,0.1851,0.77336,0.001288,0.001288,0.001288
90,12235,0.34069,0.2437,0.78196,0.98,0.99139,0.99113,0.95543,0.30829,0.18489,0.77334,0.001189,0.001189,0.001189
91,12371.4,0.32049,0.20011,0.77484,0.97989,0.99156,0.99115,0.95577,0.3078,0.18475,0.77326,0.00109,0.00109,0.00109
92,12506.9,0.31709,0.19786,0.77621,0.97995,0.9916,0.99117,0.95598,0.30737,0.18456,0.77321,0.000991,0.000991,0.000991
93,12642.5,0.31447,0.19521,0.77559,0.98063,0.99105,0.99119,0.95629,0.30681,0.18443,0.77318,0.000892,0.000892,0.000892
94,12778,0.31302,0.19165,0.77581,0.98098,0.99043,0.9912,0.95644,0.30645,0.18416,0.77312,0.000793,0.000793,0.000793
95,12913.3,0.31098,0.19027,0.77392,0.98103,0.99058,0.99121,0.95659,0.30615,0.18387,0.77309,0.000694,0.000694,0.000694
96,13048.6,0.30947,0.18742,0.77466,0.98151,0.9903,0.99123,0.95688,0.30568,0.18371,0.77306,0.000595,0.000595,0.000595
97,13184.6,0.30717,0.18582,0.77455,0.98151,0.99055,0.99124,0.95702,0.3052,0.18346,0.773,0.000496,0.000496,0.000496
98,13320,0.30547,0.18346,0.77419,0.98159,0.99051,0.99125,0.95722,0.30488,0.18315,0.77295,0.000397,0.000397,0.000397
99,13455.3,0.30378,0.18089,0.77471,0.98161,0.99054,0.99127,0.95738,0.3044,0.18281,0.77289,0.000298,0.000298,0.000298
100,13590.2,0.30216,0.17963,0.77344,0.98175,0.9904,0.99128,0.95759,0.30417,0.18254,0.77285,0.000199,0.000199,0.000199
